"Key","Power","Name","Level","Type","Effect","Souls","Ichor","Hellfire","Deceit"
"1","Wrath","Warlord","1","Stratagems","Unlock Stratagems, Allows you to spend Tribute to attach single-use combat bonuses to your Legions.","1","3","0","0"
"2","Wrath","Warlord","1","Schemes","Simple Wrath Schemes, Unlocks access to simple wratch schemes when requesting new schemes.","1","3","0","0"
"3","Wrath","Conqueror","2","Ritual","Witness the Martyr, Sacrifices a friendly Legion on Hell's burning altar so that a target ally can receive 50%-100% of their combat attributes, for the duration of the Ritual.","2","5","0","0"
"4","Wrath","Conqueror","2","Stratagems","Weakening Tactics, Unlocks Stratagem Tactics that reduce the combat attributes of the affected Legions' advesaries.","2","5","0","0"
"5","Wrath","Conqueror","2","Bonus","Command Rating +1, 1 more Legion can be controlled.","2","5","0","0"
"6","Wrath","Overlord","3","Ritual","Undying Vigor 1, Rconstitues the target from the brink of oblivion, restoring 2-4 Hit Points.","3","7","0","0"
"7","Wrath","Overlord","3","Bonus","Healing Rate +1, Legions adjacent to Places of Power regain 1 more Hit Point per turn.","3","7","0","0"
"8","Wrath","Overlord","3","Bonus","Stratagem Slots +1, 1 more Tactic can be added to stratagems.","3","7","0","0"
"9","Wrath","Master of War","4","Ritual","Tartarean Pathfinding, The target becomes recklessly sure-footed, ignoring movement restrictions imposed by Diplomacy and the Lava, Ravine, and Swamp terrain types. This does not affect their ability to capture cantons or engage in combat.","6","15","0","0"
"10","Wrath","Master of War","4","Stratagems","Protective Tactics, Adds Temporary Hit Points to the affected Legion or Place of Power for the duration of the battle.","6","15","0","0"
"11","Wrath","Master of War","4","Schemes","Grand Wrrath Schemes, Unlocks access to grand wrath chemes when requesting new schemes","6","15","0","0"
"12","Wrath","Master of War","4","Bonus","Order Slots +1, 1 more Order can be issued each turn.","6","15","0","0"
"13","Wrath","Master of War","4","Bonus","Command Rating +1, 1 more Legion can be controlled.","6","15","0","0"
"14","Wrath","Grand Marshall","5","Ritual","Undying Vigor 2, Reconstitues the target from the brink of oblivion, restoring 4-6 Hit Points.","7","16","0","0"
"15","Wrath","Grand Marshall","5","Stratagems","Phase Order Tactics, Unlocks Stratagem Tactics that change the order in which Combat Phases are resolved.","7","16","0","0"
"16","Wrath","Grand Marshall","5","Bonus","Healing Rate +1, Legions adjacent to places of Power regain 1 more Hit Point per turn","7","16","0","0"
"17","Wrath","Grand Dictator","6","Ritual","Infernal Juggernaut, The target Legion boils with Hellish rage: their combat attributes increase by 8-12 and their movement by 2. When the effect ends, the target cannot move, teleport, or provide support until repowered by this Ritual.","8","17","0","0"
"18","Wrath","Grand Dictator","6","Stratagems","Phase SKip Tactics, Unlocks Stratagem Tactics that force the specified Combat phase to be skipped entirely.","8","17","0","0"
"19","Wrath","Grand Dictator","6","Bonus","Command Rating +1, 1 more Legion can be controlled.","8","17","0","0"
"20","Wrath","Grand Dictator","6","Bonus","Stratagem Slots +1, 1 more Tactic can be added to Stratagems.","8","17","0","0"